City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Port Hardy,CA,2022-09-28 18:59:50,50.6996,-127.4199,55.58,94,100,3.44
190,Ahipara,NZ,2022-09-28 18:59:50,-35.1667,173.1667,59.81,86,100,11.18
191,San Patricio,US,2022-09-28 18:59:51,28.017,-97.5169,89.17,34,4,13.62
192,Mwaya,TZ,2022-09-28 18:59:51,-9.55,33.95,75.29,66,29,3.85
193,La Primavera,CO,2022-09-28 18:59:52,5.4906,-70.4092,89.92,55,91,3.04
194,Esperance,AU,2022-09-28 18:59:52,-33.8667,121.9,51.64,88,100,13.02
195,Bubaque,GW,2022-09-28 18:59:52,11.2833,-15.8333,82.69,76,55,7.4
196,Vrangel,RU,2022-09-28 18:59:53,42.7297,133.0839,59.74,85,3,6.82
197,Bethel,US,2022-09-28 18:59:53,41.3712,-73.414,70.57,64,68,1.99
198,Artyom,AZ,2022-09-28 18:59:54,40.4723,50.333,73.54,82,2,9.15
199,Togul,RU,2022-09-28 18:59:54,53.465,85.9128,33.51,92,100,6.89
200,Fuzhou,CN,2022-09-28 18:59:54,26.0614,119.3061,78.69,96,14,2.51
201,Padang,ID,2022-09-28 18:59:55,-0.9492,100.3543,77.05,87,100,4.56
202,Los Llanos De Aridane,ES,2022-09-28 18:59:55,28.6585,-17.9182,70.12,94,100,10.36
203,Malindi,KE,2022-09-28 18:59:56,-3.2175,40.1191,77.16,73,40,13.8
204,Myitkyina,MM,2022-09-28 19:00:00,25.3833,97.4,75.47,87,4,1.43
205,Sola,VU,2022-09-28 19:00:00,-13.8833,167.55,80.53,70,93,18.84
206,Sistranda,NO,2022-09-28 19:00:01,63.7256,8.834,53.56,73,36,5.59
207,Lompoc,US,2022-09-28 19:00:02,34.6391,-120.4579,91.02,69,2,5.01
208,Fairbanks,US,2022-09-28 18:55:32,64.8378,-147.7164,46.09,65,100,7.36
209,Richards Bay,ZA,2022-09-28 19:00:06,-28.783,32.0377,70.95,82,6,9.24
210,Dolores,AR,2022-09-28 19:00:07,-36.3132,-57.6792,63.77,31,0,6.67
211,Lagoa,PT,2022-09-28 19:00:07,39.05,-27.9833,68.88,69,100,14.18
212,Clyde River,CA,2022-09-28 19:00:08,70.4692,-68.5914,26.28,65,1,4.07
213,Pangai,TO,2022-09-28 19:00:09,-19.8,-174.35,74.12,73,12,24.09
214,Posse,BR,2022-09-28 19:00:12,-14.0931,-46.3694,93.15,17,76,0.47
215,Nome,US,2022-09-28 18:58:47,64.5011,-165.4064,40.15,84,100,17.34
216,Cabra,ES,2022-09-28 19:00:13,37.4725,-4.4421,67.57,49,6,10.94
217,Lisakovsk,KZ,2022-09-28 19:00:14,52.5369,62.4936,30.97,63,19,6.4
218,Macusani,PE,2022-09-28 19:00:15,-14.0833,-70.4333,49.48,50,53,8.61
219,Havre-Saint-Pierre,CA,2022-09-28 19:00:16,50.2334,-63.5986,53.33,86,12,9.31
220,Chumikan,RU,2022-09-28 19:00:16,54.7183,135.315,34.38,67,0,11.81
